sample	DNA_B03_15.metaphlan_profile	DNA_B02_24.metaphlan_profile	DNA_B01_01.metaphlan_profile	DNA_B01_03.metaphlan_profile	DNA_B04_32_R1.metaphlan_profile	DNA_B01_02.metaphlan_profile	DNA_B04_41_R1.metaphlan_profile	DNA_B02_02.metaphlan_profile	DNA_B02_23.metaphlan_profile	DNA_B01_04.metaphlan_profile	DNA_B03_19.metaphlan_profile	DNA_B01_27.metaphlan_profile	DNA_B01_21.metaphlan_profile	DNA_B02_15.metaphlan_profile
UNKNOWN	3.59843	0.0	15.85978	65.21805	60.29748	42.06629	44.44828	34.59523	0.0	40.29998	0	54.07273	30.5303	47.50067
Actinomyces_graevenitzii	0	0	0	0	8.262162602740549	0	0	0	0	0	0	0	0	0
Actinomyces_oris	0	0	0	0.1016467687061237	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp_S6_Spd3	0	0	0	0.026333413833632	0.1817780031429229	0	0	0	0	0	0	0	0	0
Actinomyces_sp_oral_taxon_181	0.4034405805866344	0	0	0.0881965889023124	0.0212368797381564	0	0	0	0	0	0	0	0	0
Alloscardovia_omnicolens	0	0	0	0.0089876557054689	1.841657128969942	0	0	0	0	0	0	0	0	0
Bifidobacterium_breve	1.93727635923798	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_accolens	2.8559833444209253	0	0	0	0	0	6.336096097784178	0	0	0	0	0	0	0
Corynebacterium_striatum	85.2958991956456	100.0	0	0	0	0	0	20.594576494729363	100.0	0	0	2.2796093147472964	0	0
Rothia_dentocariosa	0	0	0	0.833772020039	0	0	0	0	0	0	0	0	0	0
Rothia_mucilaginosa	0	0	0	4.952706110173512	5.56392750281762	0	32.28111126336163	0	0	7.434449051167067	0	0	0	0
Tropheryma_whipplei	0	0	0	4.337590814563423	0	0	0	15.718487141863084	0	0	0	0	0	0
Cutibacterium_acnes	0	0	68.58883279579078	0.1807339650803312	0	0	0	29.091709548294443	0	0	0	43.55034705835645	19.728110746265195	33.58307777728365
Alloprevotella_tannerae	0.1933333534925914	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_oris	0.4940580586634411	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_gasseri	0.0397560084668884	0	0	0.0340271810242269	0	0	0	0	0	0	0	0	0	0
Streptococcus_anginosus_group	3.4227378288478985	0	0	0.0332202397998969	0	0	0.2880079031906866	0	0	0	0	0	0	0
Oribacterium_sp_oral_taxon_078	0.257074073178107	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_flavescens	1.5020136195947988	0	0	0	1.5823162762168816	0	0	0	0	0	0	0	0	0
UNKNOWN	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0
Actinomyces_odontolyticus	0	0	0	0	1.2358204442131182	0	0	0	0	0	0	0	0	0
Actinomyces_sp_HMSC035G02	0	0	0	0	0.0535984065180618	0	0	0	0	0	0	0	0	0
Actinomyces_sp_HPA0247	0	0	0	0	0.7562576349605132	0	0	0	0	0	0	0	0	0
Atopobium_parvulum	0	0	0	0	0.568373383726866	0	0	0	0	0	0	0	0	0
Prevotella_denticola	0	0	0	0	0.7883412440769916	0	0	0	0	0	0	0	0	0
Gemella_haemolysans	0	0	0	4.400295712805757	0.3082980342918914	0	0.9794824087699622	0	0	0	0	0	0	0
Gemella_sanguinis	0	0	0	0.4276336323607922	0	0	0.5817598544457802	0	0	0	0	0	0	0
Staphylococcus_aureus	0	0	0	0.5508939043772038	0.6842690196282543	0	0	0	0	50.01561731115258	0	0	0	18.91625514097661
Abiotrophia_sp_HMSC24B09	0	0	0	0	0	0	0.0257204473290168	0	0	0	0	0	0	0
Lactobacillus_rhamnosus	0	0	0	0	0	0	0	0	0	0	0	0	42.160447819198296	0
Streptococcus_australis	0	0	0	0	0	0	0.6659984858274673	0	0	0	0	0	0	0
Streptococcus_gordonii	0	0	0	0.1292566800799674	0	0	0	0	0	0	0	0	0	0
Streptococcus_infantis	0	0	0	0.0201109230994664	0.7328768189616344	0	1.1022683801119189	0	0	0	0	0	0	0
Streptococcus_milleri	0	0	0	0.0718038561856425	0	0	0	0	0	0	0	0	0	0
Streptococcus_mitis	0	0	0	3.8004914312883433	2.171791551102525	0	6.144520428974571	0	0	0	0	0	0	0
Streptococcus_oralis	0	0	0	6.391134493660705	0	0	0.1884925482334495	0	0	2.2499503498412343	0	0	0	0
Streptococcus_parasanguinis	0	0	0	5.569619632563683	8.92025971897865	0	3.9086858285235886	0	0	0	0	0	0	0
Streptococcus_pneumoniae	0	0	0	0.4746136113134891	0	0	0	0	0	0	0	0	0	0
Streptococcus_pseudopneumoniae	0	0	0	0.1120083114099131	0	0	0	0	0	0	0	0	0	0
Streptococcus_salivarius	0	0	0	2.129538760176535	2.6769783689230984	0	3.0128809787421758	0	0	0	0	0	0	0
Streptococcus_sp_oral_taxon_058	0	0	0	0	0	0	0.0160822235458971	0	0	0	0	0	0	0
Streptococcus_vestibularis	0	0	0	0.0588858402064972	0	0	0	0	0	0	0	0	0	0
Eubacterium_sulci	0	0	0	0	0.0338821334240844	0	0	0	0	0	0	0	0	0
Mogibacterium_diversum	0	0	0	0	0.0354146508252675	0	0	0	0	0	0	0	0	0
Stomatobaculum_longum	0	0	0	0	3.1263910819462097	0	0	0	0	0	0	0	0	0
Veillonella_atypica	0	0	0	0.0484477772141937	0	0	0	0	0	0	0	0	0	0
Neisseria_subflava	0	0	0	0	0	0	0.0206152440686785	0	0	0	0	0	0	0
Klebsiella_pneumoniae	0	0	8.502680207386655	0	0.1568964317615382	41.15027353708327	0	0	0	0	0	0	0	0
Klebsiella_variicola	0	0	7.048712022276129	0	0	16.783436290708018	0	0	0	0	0	0	0	0
Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	7.581145433794191	0
Malassezia_restricta	0	0	0	0	0	0	0	0	0	0	0	0.0973152959395357	0	0
