SampleID,BALPatientID,DNATubeID,ShotgunSequencingFileName
003_KLEPNE340199413_KE2,1001-BAL-00,340199413,DNA_B01_01
003_KLEPNE340201193_KE3,1001-BAL-03,340201193,DNA_B01_02
003_SA340201182_SA2,1002-BAL-00,340201182,DNA_B01_03
003_SA340235375_SA1,1002-BAL-03,340235375,DNA_B01_04
002_PA340207342_S1A2,1042-BAL-00,340207342,DNA_B02_23
003_CORYN340207331_CN1,1042-BAL-04,340207331,DNA_B02_24
003_SA340201187_SA3,1014-BAL-00,340201187,DNA_B01_21
002_PA340207319_S1A2,1020-BAL-00,340207319,DNA_B01_27
003_CORYN340201234_CN3,1024-BAL-00,340201234,DNA_B02_02
003_SA340207347_SA4,1035-BAL-00,340207347,DNA_B02_15
003_KLEPNE340197051_KE4,1039-BAL-00,340197051,DNA_B02_20
002_PA340197071_S1A2,1054-BAL-00,340197071,DNA_B03_15
002_PA340201226_S1A2,1060-BAL-00,340201226,DNA_B03_19
003_KLEPNE304020698_KE1,1114-BAL-00,304020698,DNA_B04_32
003_CORYN304015504_CN4,1115-BAL-00,304015504,DNA_B04_41
